,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,129589,11416,9693,3495,0,9842
Queens,28852,79909,14235,5133,0,9644
Bronx,15984,9288,49618,2844,0,4961
Brooklyn,25425,14773,12544,105488,0,6593
Staten Island,92,53,45,16,1013,152
