,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,53562,4718,4006,1444,0,4068
Queens,11417,31622,5633,2031,0,3816
Bronx,9574,5563,29718,1703,0,2971
Brooklyn,11565,6720,5706,47983,0,2998
Staten Island,34,19,16,6,375,56
