,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,781881,68879,58486,21091,0,59383
Queens,105562,292365,52082,18782,0,35285
Bronx,50429,29302,156537,8972,0,15653
Brooklyn,116693,67805,57573,484145,0,30259
Staten Island,490,285,242,87,5380,810
