,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,76445,5291,3253,5969,0,5805
Queens,3264,19031,2900,5320,0,2296
Bronx,2569,3713,18479,4188,0,1847
Brooklyn,6241,9018,5545,41610,0,2600
Staten Island,11,16,10,18,280,42
