,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,72202,4998,3073,5637,0,5483
Queens,2999,17489,2665,4889,0,2110
Bronx,2454,3547,17652,4000,0,1765
Brooklyn,5830,8424,5179,38868,0,2429
Staten Island,11,16,9,18,267,40
