,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,1232173,85296,52445,96214,0,93582
Queens,25940,151241,23046,42279,0,18253
Bronx,12679,18321,91177,20666,0,9117
Brooklyn,53542,77364,47568,356949,0,22309
Staten Island,177,256,157,289,4289,646
